english;french
Emergency life-support/saving appara;Cagoule respiratoire de secours pour
Emergency local operation;Commande de grand secours
Emergency operating theatre;Salle d'urgence
Emergency operation;Conditions de manoeuvre de secours
Emergency override jogstick;Manipulateur de secours prioritaire
Emergency position indicating radio;Radiobalise de localisation des sini
Emergency rations;Vivres de prévoyance
Emergency services;Assistance (en cas de péril)
Emergency shut-down;Arrêt d'urgence (action)
Emergency stop;Arrêt d'urgence
Emergency stop light switches;Arrêt d'urgence lumineux
Emergency supply (for a hospital etc;Secours (alimentation de)
Emergency turn;Abattée d'urgence
Emergency vent;Event d'urgence
Emergency weighing of the anchor;Relevage de secours de l'ancre
Emergency / standby / back-uo / rese;Secours (selon contexte)
Emission control (EMCON) policy;Doctrine contrôle d'émission
Emission via conduction;Emission par conduction
Emission via radiation;Emission par rayonnement
Emissions;Emissions (de gaz polluants)
Emission electromagnetic;Emission (électromagnétique)
Emission thermionic;Effet thermoélectronique
Emitter;Emetteur
Emitter;Emetteur (CEM)
Emitter coupled logic;Logique à émetteur couplé
Emitter follower;Emidyne
Emitter follower;Montage collecteur commun
Emitter follower;Montage émetteur suiveur
Emitting focal area;Foyer émissif
Emulsifier;Emulseur
Emulsifying liquid;Liquide émulseur
Enable pulse;Créneau d'autorisation
Enable (to);Autoriser (automatisme)
Enabling;Validation
Enamel;Email
Enamelled;Emaillé
Enamel baking;Email au four
Enamel stove;Email au four
Enamel vitreous;Email vitrifié
Encapsulate (to);Capsuler
Encapsulation;Encapsulage
Encase (to);Occulter
Enclosed;Fermé (interrupteur et analogue)
Enclosure;Caisson
Enclosure;Capot
Enclosure;Enveloppe
Enclosure;Tôlerie de protection
Enclosure of insulating material;Enveloppe en matériau isolant
Enclosure ventilation exhaust duct (;Enceinte conduit d'échappement venti
Enclosure ventilation inlet duct (GT;Enceinte conduit d'admission ventila
Enclosure (GT);Enceinte (TAG)
Enclosure (on engine);Capotage externe
Enclosure(s) / encl. (encls.);"Jointe(s); pièce(s) / p j"
Enclosure thermostat-controlled;Enceinte thermostatée (elec)
Encoding;Codage (numérique/analogique)
Encoding data;Codage de données
Encrypted data;Données codées
Encrypted data input;Entrée cryptée
Encryption;Chiffrement
End;About
End;Extrémité
End bell;Cloche d'extrémité
End cap;Bouchon d'extrémité
End clearance;Jeu à la coupe
End cover;Cape
End cover motor end;Plaque d'extrémité moteur
End dan;Bouée d'extrémité
End float;Jeu axial
End for self-tapping screw;Bout plat de vis à tôle
End for self-tapping screw;Bout pointu de vis à tôle
End for thread rolling screw;Bout de vis auto-taraudeuse par défo
End item;Matériel en cours d'entretien
End launching;Lancement en long
End milling;Fraisage en bout
End milling-cutter;Fraise à queue
End of project;Fin de projet
End piece;Embout
End play;Jeu axial
End ring;Boucle de fond
End shield;Flasque de moteur
End shield assembly;Flasque complet (avec paliers et acc
End terminal;Embout d'extrémité (de gaine)
End user;Exploitant
Endorse (to);Homologuer
Endorsement procedures;Circuit de visas
Endorsements/signatures;Visas
Endoscope;Endoscope
Endurance trials;Traversée de longue durée
End-fitting;Embout
End-grain balsa;Balsa à grains de bout
End-of-processing;Fin de durée de traitement
End-of-repetition gate;Fenêtre fin de récurrence
End-to-end dimensions;Distance entre extrémités (vanne)
End-to-end mounting;Montage en lignes
End-to-end union for line;Raccord sur parcours bout à bout
End as-rolled;Bout-plat
End chamfered;Bout chanfreiné
End high;Amont (extrémité capteur)
End low;Aval (extrémité enregistreur)
End rope;Bout de manoeuvre
End rounded;Bout bombé
End shaft;Bout d'arbre
Energize (to);Exciter
Energized;Collé (relais)
Energized;Excité
Energized / supplied / live;Alimenté
Energy;Energie
Energy controller;Délesteur
Energy in general;Energie en général
Energy volume density;Energie volumique
Energy acoustic;Energie acoustique
Energy activation;Energie d'activation
Energy cohesive;Energie cohésive
Energy heat;Energie calorifique
Energy heat;Energie thermique
Energy heat thermal;"Energie thermique; quantité de chale"
Energy impact;Energie de choc
Energy potential;Energie potentielle
Energy radiant;Energie rayonnante
Energy rupture;Energie de rupture
Energy spike leakage;Energie de fuite de la pointe
Engage a target (to);Engager une cible
Engage (to);Attaquer
Engage (to);Enclencher
Engaged;Occupé
Engaged side;Bord gréé
Engagement range;Distance d'engagement
Engagement (in sense of length of ca;Engagement
Engine;Machine
Engine;Moteur
Engine Room air conditioning and ven;Ventilation conditionnement d'air co
Engine breakdown;Avaries de machine
Engine casing;Caisson de protection du moteur
Engine commands;Ordres à la machine
Engine compartment fire access;Orifice d'accès au caisson moteur po
Engine derating;Bridage de moteur
Engine fouling;Encrassement de moteur
Engine frame;Bâti de moteur
Engine fuel supply modules;Modules d'alimentation en combustibl
Engine preheated;Diesel préchauffé
Engine preheating/prelubrication mod;Modules préchauffage/prégraissage mo
Engine raft;Berceau de moteur
Engine ready to start;Diesel paré à lancer (alerte)
Engine room access air lock;Sas d'accès au compartiment machines
Engine room air conditioning air coo;Aéro-réfrigérant de conditionnement
Engine room fittings;Matériels d'aménagement du compart.p
Engine room heat transfer system;Circuit de transfert de chaleur du c
Engine room heat transfer system sch;Schéma du circuit de transfert de ch
Engine room log;Journal de quart machine
Engine room telegraph;Chadburn (transmetteur d'ordre machi
Engine room telegraph;Transmetteur d'ordres à la machine
Engine room trunk;Tambour machine
Engine room watertight integrity;Etanchéité du compartiment de propul
Engine room (the);Machine (la)
Engine rpm;Régime moteur
Engine runaway;Emballement d'un moteur
Engine running-in operation;Rodage
Engine seating;Assise (de machine)
Engine shut down;Arrêt diesel
Engine technician -engine mechanic;Mécanicien moteur
Engine telegraph;Cadran de transmission d'ordres
Engine / motor casing;Carter
Engine / motor outboard;Moteur hors-bord
Engineer (Officer) of the Watch;Ingénieur (chef) de quart
Engineering;Ingénierie
Engineering Branch Instructions  (Vo;Ordres pour le Service Technique (SA
Engineering change;Modification technique
Engineering change notice;Fiche de modification
Engineering change proposal/equipmen;Proposition de modification techniqu
Engineering department;Direction technique
Engineering department (in dockyard);Service études
Engineering job order book;Cahier de travaux
Engineering specification;Instruction technique
Engineering Chemical;Génie chimique
Engineering Civil;Génie civil
Engineering concurrent;Méthode de travail en temps masqué
Engineering system;Ingénierie de système
Engineering/design/logistics;Technique / étude / logistique
Engineer Project safety;Ingénieur responsable de la sécurité
Engineer contract;Ingénieur chargé d'affaires
Engineer methods;Préparateur
Engineer methods;Préparateur du travail
Engineer quality control;"Qualité; ingénieur de (contrôle)"
Engineer supervising;Ingénieur chargé
Engineer warranty;Ingénieur garantie
Engineer's blue dye;Bleu de mécanicien
Engineer's store;Soute mécanicien
Engineman;Mécanicien moteur
Engine Vee-type;Moteur en V
Engine air-cooled;Moteur à refroidissement par air
Engine closed-cycle diesel;Moteur diesel à cycle fermé
Engine diesel;Moteur diesel
Engine double-acting;Moteur à double effet
Engine fitted main;Moteur principal équipé
Engine fixed turbine;Moteur à turbine fixe
Engine four-stroke;Moteur à quatre temps
Engine free turbine;Moteur à turbine libre
Engine gasoline / petrol;Moteur à essence
Engine heavy-duty diesel;Moteur diesel pour usage intensif
Engine high-speed;Moteur rapide
Engine indirect drive;Moteur avec réducteur
Engine main;Moteur de propulsion
Engine marine diesel;Moteur diesel marin
Engine non-reversible;Moteur non réversible
Engine propulsion diesel;Moteur à propulsion diesel
Engine propulsion diesel;Moteur diesel de propulsion
Engine reversible;Moteur réversible
Engine rocket;Moteur-fusée
Engine turbo-charged;Moteur suralimenté
Engine two-stroke;Moteur à deux temps
Engine wing;Moteur latéral
Engine/motor test tank;Bac d'essai de moteurs
Engine/propeller configuration arran;Loi de conjugaison moteur/hélice
Engraving;Gravure mécanique
Enhanced/detailed image;Image enrichie
Enlarged link;Grande maille
Enquiry;Enquête
Enquiry;Lettre de consultation
Ensemble/set;Ensemble
Ensign;Flamme
Ensign and jack staffs;Mats de pavillon (de beaupré et de p
Ensign staff bracket;Support de mat de pavillon arrière
Entablement;Entablature
Enter in the ship's log (to);Porter au journal de bord
Enter on the chart (to);Annoter sur la carte
Enter service (to);Etre admis au service actif
Enter (data);Consigner
Enter (to) in a log etc.;Inscrire
Entire (the);Ensemble de ... (l')
Entire/complete system/plant;Installation complète
Entity;Entité
Entity/item;Entité
Entrainment;Entraînement
Entrainment shape parameter;Paramètre de forme d'entraînement
Entrance;Entrée
Entrance body;Entrée
Entrance cover (on liferaft);Auvent de la porte (sur radeau de sa
Entrance eye;Ouïe (d'un rouet)
Entrance hatch;Panneau d'accès
Entry;Entrée
Entry in a log;Elément du journal
Entry to make an (in a log);Enregistrer(dans un cahier etc.)
Envelope;Enveloppe (courbe)
Environment;Ambiance
Environment;Environnement
Environmental conditions;Environnement
Environmental conditions/limitations;Contraintes
Environmental council;Conseil pour l'environnement
Environmental data;Conditions d'environnement
Environmental effects;Agents climatiques
Environmental legislation;Législation sur l'environnement
Environment aqueous;Environnement aqueux
Environment combat;Environnement conflictuel
Environment combat;Environnement conflictuel
Environment electromagnetic;Environnement électromagnétique
Environment high EW (Electronic War;Environnement sévère de GE (Guerre E
Environment induced;Environnement induit
Environment natural;Environnement naturel
Environment software test;Environnement d'Essai Logiciel
Environment worst-case;Environnant le plus défavorable
Epicyclic gear unit;Réducteur épicycloïdal
Equal leg fillet weld;Soudure d'angle avec préparation éga
Equalization;Egalisation
Equalizing facteur;Filtre égalisateur
Equalizing filter;Filtre compensateur
Equidistance;Equidistance
Equilibrium equations;Equations d'équilibre
Equip / fit out (to);Outiller
Equipage item (US Navy term);Accessoire
Equipment;Appareil
Equipment;Equipement
Equipment;Equipements
Equipment;Matériel
Equipment Coding Department;Sous-Section Codification
Equipment allocation statement;Etat d'allocation de matériel
Equipment design;Définition de matériels
Equipment dimensions/space requireme;Encombrement d'appareils
Equipment earth;Masse électrique d'appareil
Equipment fitted in senior rates pan;Equipement intégré à l'office des OM
Equipment fitted in the dining hall;Equipement intégré à la cafétéria
Equipment fitted in the scullery;Equipement intégré à la souillarde
Equipment foundation;Embase des équipements
Equipment items / items of equipment;Matériels
Equipment labelling;Etiquetage du matériel
Equipment location;Localisation des appareils
Equipment manufacturer;Fabricant de matériels
Equipment pockets (on liferaft);Poches matériel (sur radeau de sauve
Equipment record card;Fiche matricules équipement (FME)
Equipment space;Gaine technique
Equipment / appliance electrical;Appareil électrique
Equipment Crypto;Equipement crypto
Equipment Decca navigation;Appareil de navigation Decca
Equipment IFF (Identification Frien;Matériel d'identification (IFF)
Equipment SSGW equipment room;Matériel du local technique missile
Equipment ancillary;Equipement annexe
Equipment associated;Appareils associés
Equipment automatic plotting;Equipement automatique de trace
Equipment bakery;Matériel de boulangerie
Equipment battery control;Appareils de mesure des batteries
Equipment built-in self test (BITE);Equipement avec test intégré
Equipment cafeteria;Matériel de cafétéria
Equipment common external communica;Matériels communs de transmissions e
Equipment communications;Matériels radioélectriques
Equipment contractor-furnished;Appareil fourni par le vendeur
Equipment data communications;Equipement de communication de donné
Equipment data terminal;Equipement terminal de traitement de
Equipment defined measuring;Appareil de mesure défini
Equipment detachable fittings and m;Matériels d'armement
Equipment difficult access;Equipement d'accès difficile
Equipment diving;Matériel de plongée
Equipment dynamic;Auxiliaires dynamiques
Equipment easy access;Equipement d'accès facile
Equipment electrical;Appareillages électriques
Equipment electrical;Equipement électrique
Equipment electrical;Matériel électrique
Equipment electronic;Matériel électronique
Equipment electrotechnical;Matériel électrotechnique
Equipment exchange and interface;Matériels d'échange et d'interface
Equipment explosion-proof;Equipement antidéflagrant
Equipment field balancing;Matériel d'équilibrage in situ
Equipment fixed communications;Matériels radioélectriques fixes
Equipment government furnished;Equipements fournis par établissemen
Equipment helicopter in-flight refu;Matériel pour le ravitaillement en v
Equipment high velocity measuring;Radar de mesure de vitesse de projec
Equipment hydrophone monitoring;Equipement de veille microphonique
Equipment individual protective;Matériel de protection personnel
Equipment inlet;Appareil (électrique) aboutissant
Equipment interface;Equipement de servitude
Equipment items of;Equipements
Equipment lifesaving;Matériel de sauvetage
Equipment manually-operated test;Appareillages de contrôle manuel
Equipment measuring;Appareil de mesure
Equipment medical;Matériel médical
Equipment medical first aid;Equipements de premiers secours médi
Equipment monitoring;Equipement de surveillance
Equipment naval inflatable lifesavi;Matériel gonflable de survie en mer
Equipment non-electronic;Matériel non électronique
Equipment non-spark;Matériel anti-étincelles
Equipment non-specific (standard it;Equipement non-spécifique (SAW II)
Equipment on-board;Matériel à implanter
Equipment outfit;Matériels d'emménagement
Equipment outfitting;Matériel d'armement
Equipment outlet;Appareil (électrique) tenant
Equipment pantry;Matériel d'office
Equipment passive countermeasures;Equipement de contre-mesures passive
Equipment portable;Matériel mobile
Equipment portable communications;Matériels radioélectriques mobiles
Equipment pulping;Equipement de broyage
Equipment quantity-produced;Equipements fabriqués en série
Equipment related;Matériel concerné
Equipment rigidly fitted;Matériel monté rigidement
Equipment safety;Matériel de sécurité
Equipment scullery;Matériel de souillarde
Equipment seated;Matériel à carlinguer
Equipment self-contained;Appareil autonome
Equipment sensitive;Matériel sensible
Equipment shipboard;Equipement(s) de bord (navire)
Equipment sound reproduction;Equipement de reproduction sonore
Equipment sound signal;Equipements d'avertissement sonore (
Equipment special-to-type test;Appareil d'essai particulier au maté
Equipment specific (special repair;Equipement spécifique (SAW II)
Equipment static;Auxiliaires statiques
Equipment support;Equipement de soutien
Equipment survival;Matériel de survie
Equipment test;Appareillage de contrôle
Equipment torpedo handling;Equipements de manutention de torpil
Equipment vibration measuring;Mesureur de vibrations
Equipment welding;Matériel de soudage
Equipment  Portable Damage Control;Matériels mobiles de sécurité
Equivalent (static) acceleration;Accélération (statique) équivalente
Equi-opaque product;Produit équi-opaque
Erase (to);Effacer (un enregistrement)
Ergonomic;Ergonomique
Ergonomics;Ergonomie
Erosion;Erosion
Erosion fluid;Erosion  par fluide
Erosion salt-water;Erosion par l'eau de mer
Erratic;Irrégulier
Error span;Etendue d'une erreur
Error absolute;Erreur absolue
Error accidental;Erreur aléatoire
Error accumulative;Erreur cumulative
Error actual;Erreur réelle
Error aliasing;Erreur d'échantillonnage
Error aliasing;Erreur de repliement
Error calibration;Erreur d'étalonnage
Error collimation (optics);Erreur de collimation (optique)
Error index;Erreur instrumentale
Error quadrantal;Erreur quadrantale
Error random;Erreur aléatoire
Error random;Erreur aléatoire
Error random balancing;Erreur d'équilibrage aléatoire
Error stand-off beam;Erreur de dérive de faisceau
Error tracking;Erreur de pistage
Error tracking offset;Erreur angulaire de poursuite
Escalation;Révision de prix
Escalator;Escalier mécanique
Escape and evacuation route;Parcours d'évacuation
Escape clause;Clause échappatoire
Escape hatch  (main deck...);Echappée sur pont principal
Escape hatch/trunk;Echappée
Escape manoeuvre;Manoeuvre de dérobement
Escape route;Parcours d'échappée
Escape route;Voie d'échappée
Escape routes;Chemins d'évacuation
Escape routes;Parcours d'évacuation
Escape trunk;Sas de sauvetage
Escutcheon;Ecusson
Essential busbar;Barre des services essentiels
Essential loads;Charges essentielles
Essential users;Utilisateurs essentiels
Establish standards and norms;Assurer la normalisation et la stand
Establish (to);Assurer (sens établir)
Establish (to);Elaborer (des listes/dossiers)
Establish (to);Etablir
Established set finalized;Figé
Establishing contact;Etablissement du contact
Establishment;Etablissement
Establishment of sighting line;Tirage de ligne de feu
Estimate;Devis
Estimate;Prévision
Estimate (to);Evaluer
Estimated course;Route estimée
Etch primer;Peinture primaire réactive
Etching;Attaque (chimique)
Etching;Gravure - chimique
Ethylcellulose;Ethylcellulose
Ethylene;Ethylène
Ethylene propylene diene monomer;Monomère d'ethylène propylène diène
Ethylene vinyl acetate;Acétate de vinyle éthylénique
Europe crate;Bac Europe
Evaluated in a specified manner;Evalué d'une manière spécifiée
Evaluation Tests (SAW II Training);Evaluation des connaissances (SAW II
Evaporation;Evaporation
Evaporation chamber;Cuve d'évaporation
Evaporator;Bouilleur
Evaporator;Evaporateur
Evaporator/ distillation plant;Bouilleur
Evasion course;Trajectoire d'évitement
Even keel;Bonne assiette
Even tension distribution;Equitension
Evening twilight;Crépuscule
Event;Evénement
Everyday cutlery;Argenterie de service courant
Evolution;Evolution dans le temps
Evolution grade;Classe d'évolution
Evolutions;Manoeuvres (gen.)
Evolution/operation/manoeuvre;Manoeuvre
Ex quay (INCOTERM);A quai
Ex ship (INCOTERM);Ex ship
Ex works (INCOTERM);A l'usine
Examination;Arraisonnement (temps de guerre)
Examination;Contrôle
Examination of paintwork;Contrôle de la peinture
Examination process;Exécution des contrôles
Examination X-ray;Contrôle radiographique
Examination break;Examen de la cassure
Examination dye penetrant;Essai de ressuage
Examination macrographic;Examen macrographique
Examination magnetic particle;Essai magnétoscopique
Examination non-destructive;Contrôle non destructif
Examination radiographic;Examen radiographique
Examination ultrasonic;Contrôle aux ultrasons
Examination ultrasonic;Examen aux ultra-sons
Examination visual;Examen d'aspect
Examine (to);Arraisonner
Examine (to);Inspecter
Except for / other than;Sauf
Excess length;Surlongueur
Excess salinity;Salinit2 excessive
Excess solder;Soudure (à l'étain) excédentaire
Excess weld metal;Surépaisseur excessive
Excessive penetration;Excès de pénétration
Exchanges and interfaces;Echanges et interfaces
Exchange/repair Down Time;Période d'indisponibilité pour la ré
Excise duty;Droit d'accise  /  de régie
Excitation; stimulus;Excitation
Excite (to);Alimenter (une source d'antenne)
Excited oscillations;Oscillations forcées
Exciter;Excitatrice (de génératrice)
Excursion;Course
Executant;"Exécuteur (d'actions; ...)"
Execute to follow...;Exécution différée
Execute!;Exécution!
Execution;"Réalisation; exécution"
Executive Branch Instructions (Vol 1;Ordres pour le Service Opérations (S
Executive Officer (second in command;Commandant en second
Executive (intermediate);Cadre d'entreprise (moyen)
Exercise;Exercice
Exercise (to);"Manoeuvre; faire la"
Exert (to);"Exercer (une force; une pression)"
Exhaust;Echappement
Exhaust;Evacuation
Exhaust;"Sortie (d'air; de gaz)"
Exhaust ducts and duct accessories;Conduits et accessoires sur conduits
Exhaust guide sliding support;Guidage point glissant échappement
Exhaust hood (GT);Cadre d'échappement (TAG)
Exhaust manifold guide;Guidage collecteur échappement
Exhaust muffler guide;Guidage silencieux échappement
Exhaust orifice (Gas Turb.);Orifice d'échappement (TAG)
Exhaust plenum (GT);Caisson d'échappement (TAG)
Exhaust tip;Queusot
Exhaust turning vane (GT);Diffuseur d'échappement (TAG)
Exhaust valve rocker;Culbuteur d'échappement
Exhaust volute (Gas Turb.);Volute d'échappement (TAG)
Exhaust (to);Evacuer
Exhaust diesel engine gas;Echappement des gaz de moteur diesel
Exhaust diesel generator and gas tu;Echappement des gaz de DA et turbine
Exhaust emergency diesel generator;Echappement DA de secours
Exhaust gas turbine and diesel gene;Echappement des gaz de TAG et DA
Exhaust main engine gas;Echappement des gaz de l'appareil pr
Existing works;Existants
Exit;Issue
Exit;Sortie
Exologic;Ecotoxicologique
Expandable reamer;Alésoir expansible
Expanded metal grate;Grillage en métal expansé
Expanded metal spacer;Grillage en métal expansé
Expanded polyurethane foam;Mousse de polyuréthane expansée
Expanded ship work breakdown structu;Catalogue général de décomposition d
Expansion;Dilatation
Expansion at service temperatures;Dilatation aux températures de servi
Expansion bend;Lyre de dilatation
Expansion card;Expansion (carte)
Expansion chamber (compressor);Pot de séparation
Expansion joint;Compensateur de dilatation
Expansion loop (Gas Turb.);Lyre de dilatation (TAG)
Expansion slide;Opercule de détente
Expansion trunk;Coffre d'expansion
Expansion u-bend;Lyre droite à deux tubulaires parall
Expansion vessel;Vase d'expansion
Expansion (of gas in gas turbine);Détente (TAG)
Expansion linear thermal;Dilatation thermique linéaire
Expansion scale;Dilatation d'échelle
Expansion thermal;Dilatation thermique
Expected lifetime;Durée de vie attendue
Expedite (to);Accélérer (formalités)
Expedite (to);Activer
Expediting;Relance
Expediting team;Fonction relance
Expenditure;Dépense
Expense decision;Engagement
Expenses inherent to personnel trans;Dépenses indivises de personnel pour
Experimental results;Résultats expérimentaux
Explanatory note / background;Rappel
Explodability;Explosivité
Explode;Faire explosion
Exploding bridgewire;Fil explosé
Exploratory military characteristics;Fiche de caractéristiques militaires
Explosibility;Explosibilité
Explosimeter;Explosimètre
Explosion-proof;Antidéflagrant
Explosion-protected;Antidéflagrant
Explosive;Amorce explosive
Explosive;Explosif (substance)
Explosive Ordnance Disposal Technici;Démineur
Explosive charge;Charge
Explosive cutter frame;Corps de cisaille explosive
Explosive cutter (minesweeping);Cisaille à charge diédrique
Explosive forming;Formage par explosifs
Explosive ordnance disposal;Désobusage
Explosive ordnance factory;Pyrotechnie
Explosives ready use racks;Parcs à explosifs
Explosives store;Dépôt alvéolaire
Explosive active-bonded;Explosif à liant actif
Explosive blasting;Explosif de mine
Explosive chlorate;Explosif chlorate
Explosive composite;Explosif composite
Explosive initiating;Explosif primaire
Explosive nitrate;Explosif nitrate
Explosive permissible (US);Explosif antigrisouteux
Explosive permitted (GB);Explosif antigrisouteux
Explosive plastic;Explosif plastique
Explosive plastic-bonded;Explosif à liant plastique
Explosive plate-shaped;Explosif en plaque
Explosive priming;Explosif primaire
Explosive secondary;Explosif secondaire
Explosive slurry;Explosif en bouillie
Explosive thermostable;Explosif thermostable
Explosophoric;Explosophore
Export Programmes;Programmes Export
Exporting / importing country;Pays exportateur / importateur
Exposed ways;Couettes découvertes
Exposure;Exposition
Exposure;Exposition aux intempéries
Expression of need / statement of re;Expression du besoin
Extant / remaining non-compliances;Non-conformités résiduelles
Extend (to);Sortir
Extended Maintenance Period / Overha;Indisponibilité pour entretien et ré
Extended formation;Formation déployée/étendue
Extender;Matière de charge
Extender;Matière de charge/extendeur
Extender;Prolongateur
Extension bar;"Rallonge (de clé à pipe; ...)"
Extension jack;Jack  prolongateur
Extension lead / cord;Rallonge
Extension piece;Rallonge (sur une fraise)
Extension shaft (Gas Turb.);Nez d'arbre (TAG)
Extent of the fire;Etendue du sinistre
Exterior;Extérieur (subs.)
External;Extérieur (adj.)
External;Externe
External authority;Organisme extérieur
External connections;Connexions extérieures
External endorsement;Visa externe
External finish;Finition extérieure
External flame retardant;Ignifugeant externe
External ignitor;Amorceur externe
External power supply operating rang;Plage de fonctionnement des alimenta
External tightness;Etanchéité vers l'extérieur
External views;Vues extérieures
External weld metal excess;Surépaisseurs extérieures  (soudure)
Externally-powered;A source motrice extérieure
Extinguish (to);Eteindre
Extinguish (to);S'éteindre (indicateur)
Extinguisher chlorinated water spra;Extincteur à eau javellisée
Extinguisher dry powder;Extincteur à poudre
Extinguisher soda acid;Extincteur à neige carbonique
Extinguisher water spray;Extincteur à eau diffusée
Extinguisher water spray with foam;Extincteur à eau diffusée avec addit
Extinguishing system detector-actua;Extinction asservie à la détection
Extinguishment (US);Extinction (d'un incendie)
Extraction and tracking unit (radar);Unité d'extraction et de poursuite
Extrapolated reliability;Fiabilité extrapolée
Extreme;Hors tout
Extreme breadth;Fort (largeur)
Extreme breadth;Largeur au fort
Extreme weather conditions;Gros temps
Extrusion;Extrusion/boudinage
Extrusion beaded;Profilé à boudin
Exudation (sweating);Exsudation
Exudation / sweating out;Exsudation
Exudation(sweating);Exsudation
Exudation/bleed out;Exsudation
Ex-works;Départ usine
Eye block;Taquet à oeil
Eye burns;Brulures oculaires
Eye irritant vapours;Vapeurs irritantes pour les yeux
Eye of a stay;Boucle d'étai
Eye of a stay;Fourche
Eye of the anchor;Oeil d'ancre
Eye plate;Oeilleton
Eye shower;Douche oculaire
Eye (of a hawser);Oeil (d'une ligne)
Eyebolt;Boulon à l'oeil
Eyebolt;Corps de boulon à oeil
Eyebolt;Piton fileté
Eyebolt / padeye / eye;Oeilleton
Eyebolt / padeye / eye;Piton à oeil
Eyebolt / padeye / eye;Piton de levage
Eyebolt / padeye / eye;Plaque à oeil
Eyebolt / padeye / eye (strong point;Piton de remorquage (point fort)
Eyebolt / padeye / eye handling;Piton de manutention
Eyebolt / padeye / eye lifting;Piton de levage
Eyebolt / padeye / eye sliding;Piton à oeil coulissant
Eyebolt / padeye / eye towing;Piton à plaque pourpoint fixe remorq
Eyebolt / padeye / eye towing;Piton de remorque
Eyebolts;Anneaux de levage
Eyebolts rings and cleats;"Pitonnage; boucles et taquets"
Eyebolt lifting;Vis à anneau
Eyelet;Cosse
Eyelet;Oeillet
Eyepiece;Oculaire
Eyepiece;Oculaire
Eyepiece collimation (optics);Oculaire de collimation (optique)
Eye-safe modular laser rangefinding;Télémétrie modulaire laser à sécurit
Eye hawser;Cosse d'aussière
Eye lifting;Anneau de levage
Eye lifting / slinging;Ferrure d'élingage
Eye rudder;Piton de cervelle
Eye towing;"Remorque; piton de"
F bears 180° true from A;F est dans le 180 vrai de A
F is aft of G;F est sur l'arrière de G
F is directly astern of A;F est en plein sur l'arrière de A
F is in the after section of the shi;F est à l'arrière du navire
F is on the centreline;F est dans l'axe du navire
F is south of A;F est Sud de A
F is the aftermost section of the sh;F est à l'extrême arrière du navire
FB (flat bar);Plat
FE 808 echo sounder;Sondeur FE 808
FF bears Green 10;FF est dans le 10 vert
FFT doppler filtering;Filtrage Doppler FFT
FLG (flange);Semelle
FMC circuit boards;Cartes FMC
FOB airport (INCOTERM);FOB aéroport
Fabricate;Préparer
Fabricated construction;Acier mécano-soudé
Fabricated shape penetration;Passage de té composite
Fabricated steel element;Mécano-soudé (élément)
Fabricated tee shape;Té composite
Fabrics knitted;Tissus à mailles
Fabric coated;Tissu enduit
Fabric continuous filament/staple f;Tissu mixte (silionne et verranne
Fabric continuous-filament woven;Tissu de silionne
Fabric glass;Tissu de verre
Fabric pre-impregnated;Tissu préimpregné
Fabric protective;Tissu à délaminer
Fabric staple fibre woven;Tissu de verranne
Fabric staple-glass woven;Tissu de verranne
Fabric stretched;Tissue mural tendu
Fabric wall;Tissue mural
Fabric woven;Tissu
Face of weld;Face à souder
Face out (to);Expulser
Face (of blade);Face (d'une pale)
Faceplate;Tôle bandeau
Face-to-face dimensions;Dimensions face à face
Face-to-face dimensions;Ecartement (distance) entre brides (
Face back (of a bearing ring);Grande face (d'une bague de roulemen
Face driving;Face propulsive (pale d'hélice)
Face front (of a bearing ring);Petite face (d'une bague de roulemen
Facility mission-specific log;Capacité d'historisation adaptée aux
Facing flat (of stiffener);Plat de face d'un raidisseur
Facteur majorant;Multiplier
Factor;Coefficient
Factor;Facteur
Factor fixed cost from D;Coût constant des facteurs à partir
Factory acceptance test procedure pa;Cahier des procédures d'acceptation
Factory acceptance test report;"Recette finale en usine; cahier de"
Factor Q;Facteur d'amplification dynamique
Factor amplifier distortion;Coefficient de distorsion d'amplific
Factor amplifier distortion factor;Distortion d'amplificateur (coeffici
Factor appendage scale effect;Facteur d'échelle sur la résistance
Factor attenuation;Coefficient d'atténuation
Factor blade tip loss;Facteur de perte en bout de pale
Factor build-up;Facteur de diffusion
Factor bulk;Facteur de contraction
Factor conversion;Facteur de conversion
Factor correction;Coefficient de correction
Factor coverage;Facteur de recouvrement
Factor crest;Facteur de crête
Factor dielectric loss;Facteur de perte diélectrique
Factor dissipation;Facteur de dissipation (de pertes)
Factor distortion;Facteur de distorsion
Factor diversity (Lloyd's);Facteur d'utilisation
Factor entrainment;Facteur d'entraînement
Factor form;Facteur de forme
Factor human;Facteur humain
Factor induction;Facteur d'induction
Factor intensifying;Coefficient de renforcement
Factor intensifying;Facteur de renforcement
Factor load;Coefficient de corrélation sur la pu
Factor load;Facteur de charge
Factor magnification;Facteur d'amplification
Factor modal amplification;Facteur modal d'amplification
Factor noise;Facteur de bruit
Factor noise (GB);Facteur de bruit
Factor power;Facteur de puissance
Factor power;"Facteur de puissance ""cos phi"""
Factor power prediction;Coefficient de prévision sur la puis
Factor quality;Facteur de qualité
Factor scaling;Facteur d'échelle/d'extrapolation
Factor service;Facteur de service
Factor service design;Coefficient d'utilisation
Factor ship-model correlation;Coefficient de corrélation mer-bassi
Factor ship-model correlation for;Facteur de corrélation mer-bassin po
Factor ship-model correlation for;Facteur de corrélation mer-bassin po
Factor sizing;Facteur d'échelle/d'extrapolation
